"Docente_ID","Nombre","Especialidad_principal","Horas_contratadas"
"MAT-FIS-01","Laura Gómez","Matemáticas / Física","34.5"
"MAT-FIS-02","Carlos Rendón","Matemáticas / Física","34.5"
"MAT-FIS-03","María Fernanda Ríos","Matemáticas / Física","34.5"
"MAT-FIS-04","Andrés Pardo","Matemáticas / Física","34.5"
"MAT-FIS-05","Sandra Ochoa","Matemáticas / Física","34.5"
"MAT-FIS-06","Julián Vargas","Matemáticas / Física","34.5"
"ESP-ING-01","Natalia Duarte","Español / Inglés","34.5"
"ESP-ING-02","Felipe Mora","Español / Inglés","34.5"
"ESP-ING-03","Camila Restrepo","Español / Inglés","34.5"
"ESP-ING-04","Jorge Peña","Español / Inglés","34.5"
"ESP-ING-05","Adriana Suárez","Español / Inglés","34.5"
"ESP-ING-06","Mauricio Cely","Español / Inglés","34.5"
"ESP-ING-07","Lorena Bautista","Español / Inglés","34.5"
"CIENCIAS-01","Claudia Nieto","Biología / Química / C. Naturales","34.5"
"CIENCIAS-02","Sebastián Reyes","Biología / Química / C. Naturales","34.5"
"CIENCIAS-03","Gloria Muñoz","Biología / Química / C. Naturales","34.5"
"CIENCIAS-04","Ricardo Beltrán","Biología / Química / C. Naturales","34.5"
"CIENCIAS-05","Viviana Cortés","Biología / Química / C. Naturales","34.5"
"EDF-ETICA-01","Marcela Guerrero","Ed. Física / Ética","34.5"
"EDF-ETICA-02","Héctor Zapata","Ed. Física / Ética","34.5"
"EDF-ETICA-03","Angélica Prieto","Ed. Física / Ética","34.5"
"EDF-ETICA-04","Fabián Castro","Ed. Física / Ética","34.5"
"EDF-ETICA-05","Tatiana Herrera","Ed. Física / Ética","34.5"
"FLEX-01","Nelson Cifuentes","Informática / Sociales / Filosofía / Artística","34.5"
"FLEX-02","Liliana Vega","Informática / Sociales / Filosofía / Artística","34.5"
"FLEX-03","Omar Delgado","Informática / Sociales / Filosofía / Artística","34.5"
"FLEX-04","Camilo Rincón","Informática / Sociales / Filosofía / Artística","34.5"
"FLEX-05","Paula Méndez","Informática / Sociales / Filosofía / Artística","34.5"
"FLEX-06","Andrea Solano","Informática / Sociales / Filosofía / Artística","34.5"
"FLEX-07","Diego Fajardo","Informática / Sociales / Filosofía / Artística","34.5"
