"Jornada","Curso_ID","Grado","Sección","Día","Hora","Materia","Área","Docente_ID","Docente_Nombre"
"Mañana","70","1","A","Jueves","8:30–9:15","Ciencias Naturales","CIENCIAS","CIENCIAS-03","Gloria Muñoz"
"Mañana","70","1","A","Jueves","10:30–11:15","Espanol","ESP-ING","ESP-ING-07","Lorena Bautista"
"Mañana","70","1","A","Jueves","11:15–12:00","Matematicas","MAT-FIS","MAT-FIS-07","Paola Cárdenas"
"Mañana","70","1","A","Lunes","7:45–8:30","Informatica","FLEX","MAT-FIS-06","Julián Vargas"
"Mañana","70","1","A","Lunes","8:30–9:15","Ciencias Naturales","CIENCIAS","CIENCIAS-03","Gloria Muñoz"
"Mañana","70","1","A","Lunes","10:30–11:15","Educacion Fisica","EDF-ETICA","EDF-ETICA-03","Angélica Prieto"
"Mañana","70","1","A","Lunes","11:15–12:00","Etica","EDF-ETICA","EDF-ETICA-03","Angélica Prieto"
"Mañana","70","1","A","Martes","7:45–8:30","Espanol","ESP-ING","ESP-ING-04","Jorge Peña"
"Mañana","70","1","A","Martes","8:30–9:15","Educacion Fisica","EDF-ETICA","CIENCIAS-05","Viviana Cortés"
"Mañana","70","1","A","Martes","10:30–11:15","Espanol","ESP-ING","ESP-ING-07","Lorena Bautista"
"Mañana","70","1","A","Martes","11:15–12:00","Ciencias Sociales","FLEX","FLEX-02","Liliana Vega"
"Mañana","70","1","A","Miércoles","7:45–8:30","Ingles","ESP-ING","ESP-ING-06","Mauricio Cely"
"Mañana","70","1","A","Miércoles","8:30–9:15","Matematicas","MAT-FIS","MAT-FIS-02","Carlos Rendón"
"Mañana","70","1","A","Miércoles","10:30–11:15","Ciencias Naturales","CIENCIAS","CIENCIAS-05","Viviana Cortés"
"Mañana","70","1","A","Miércoles","11:15–12:00","Espanol","ESP-ING","ESP-ING-02","Felipe Mora"
"Mañana","70","1","A","Viernes","7:45–8:30","Matematicas","MAT-FIS","MAT-FIS-05","Sandra Ochoa"
"Mañana","70","1","A","Viernes","8:30–9:15","Matematicas","MAT-FIS","EDF-ETICA-02","Héctor Zapata"
"Mañana","71","1","B","Jueves","7:00–7:45","Educacion Fisica","EDF-ETICA","EDF-ETICA-01","Marcela Guerrero"
"Mañana","71","1","B","Jueves","8:30–9:15","Ingles","ESP-ING","ESP-ING-05","Adriana Suárez"
"Mañana","71","1","B","Jueves","9:45–10:30","Etica","EDF-ETICA","FLEX-01","Nelson Cifuentes"
"Mañana","71","1","B","Jueves","11:15–12:00","Ciencias Naturales","CIENCIAS","EDF-ETICA-03","Angélica Prieto"
"Mañana","71","1","B","Lunes","7:00–7:45","Ciencias Sociales","FLEX","MAT-FIS-07","Paola Cárdenas"
"Mañana","71","1","B","Lunes","8:30–9:15","Espanol","ESP-ING","ESP-ING-02","Felipe Mora"
"Mañana","71","1","B","Lunes","9:45–10:30","Matematicas","MAT-FIS","MAT-FIS-02","Carlos Rendón"
"Mañana","71","1","B","Lunes","11:15–12:00","Informatica","FLEX","FLEX-02","Liliana Vega"
"Mañana","71","1","B","Martes","7:00–7:45","Ciencias Naturales","CIENCIAS","CIENCIAS-06","Esteban Rojas"
"Mañana","71","1","B","Martes","8:30–9:15","Espanol","ESP-ING","ESP-ING-01","Natalia Duarte"
"Mañana","71","1","B","Martes","9:45–10:30","Educacion Fisica","EDF-ETICA","EDF-ETICA-05","Tatiana Herrera"
"Mañana","71","1","B","Martes","11:15–12:00","Matematicas","MAT-FIS","MAT-FIS-03","María Fernanda Ríos"
"Mañana","71","1","B","Miércoles","7:00–7:45","Matematicas","MAT-FIS","MAT-FIS-02","Carlos Rendón"
"Mañana","71","1","B","Miércoles","9:45–10:30","Matematicas","MAT-FIS","MAT-FIS-07","Paola Cárdenas"
"Mañana","71","1","B","Miércoles","11:15–12:00","Ciencias Naturales","CIENCIAS","CIENCIAS-05","Viviana Cortés"
"Mañana","71","1","B","Viernes","7:00–7:45","Espanol","ESP-ING","ESP-ING-06","Mauricio Cely"
"Mañana","71","1","B","Viernes","8:30–9:15","Espanol","ESP-ING","ESP-ING-05","Adriana Suárez"
"Mañana","72","1","C","Jueves","7:00–7:45","Ciencias Naturales","CIENCIAS","CIENCIAS-01","Claudia Nieto"
"Mañana","72","1","C","Jueves","7:45–8:30","Matematicas","MAT-FIS","MAT-FIS-01","Laura Gómez"
"Mañana","72","1","C","Jueves","9:45–10:30","Espanol","ESP-ING","ESP-ING-08","Iván Torres"
"Mañana","72","1","C","Jueves","10:30–11:15","Etica","EDF-ETICA","EDF-ETICA-03","Angélica Prieto"
"Mañana","72","1","C","Lunes","7:00–7:45","Matematicas","MAT-FIS","MAT-FIS-03","María Fernanda Ríos"
"Mañana","72","1","C","Lunes","7:45–8:30","Ciencias Sociales","FLEX","FLEX-01","Nelson Cifuentes"
"Mañana","72","1","C","Lunes","9:45–10:30","Educacion Fisica","EDF-ETICA","EDF-ETICA-01","Marcela Guerrero"
"Mañana","72","1","C","Lunes","10:30–11:15","Informatica","FLEX","ESP-ING-06","Mauricio Cely"
"Mañana","72","1","C","Martes","7:00–7:45","Matematicas","MAT-FIS","MAT-FIS-06","Julián Vargas"
"Mañana","72","1","C","Martes","9:45–10:30","Matematicas","MAT-FIS","MAT-FIS-03","María Fernanda Ríos"
"Mañana","72","1","C","Martes","10:30–11:15","Espanol","ESP-ING","ESP-ING-06","Mauricio Cely"
"Mañana","72","1","C","Miércoles","7:00–7:45","Espanol","ESP-ING","ESP-ING-07","Lorena Bautista"
"Mañana","72","1","C","Miércoles","7:45–8:30","Educacion Fisica","EDF-ETICA","EDF-ETICA-03","Angélica Prieto"
"Mañana","72","1","C","Miércoles","9:45–10:30","Ciencias Naturales","CIENCIAS","CIENCIAS-05","Viviana Cortés"
"Mañana","72","1","C","Miércoles","10:30–11:15","Espanol","ESP-ING","ESP-ING-05","Adriana Suárez"
"Mañana","72","1","C","Viernes","7:00–7:45","Ciencias Naturales","CIENCIAS","CIENCIAS-06","Esteban Rojas"
"Mañana","72","1","C","Viernes","7:45–8:30","Ingles","ESP-ING","ESP-ING-02","Felipe Mora"
"Mañana","73","1","D","Jueves","7:45–8:30","Ciencias Naturales","CIENCIAS","CIENCIAS-02","Sebastián Reyes"
"Mañana","73","1","D","Jueves","8:30–9:15","Educacion Fisica","EDF-ETICA","FLEX-03","Omar Delgado"
"Mañana","73","1","D","Jueves","10:30–11:15","Educacion Fisica","EDF-ETICA","EDF-ETICA-02","Héctor Zapata"
"Mañana","73","1","D","Lunes","7:45–8:30","Espanol","ESP-ING","ESP-ING-03","Camila Restrepo"
"Mañana","73","1","D","Lunes","10:30–11:15","Matematicas","MAT-FIS","MAT-FIS-06","Julián Vargas"
"Mañana","73","1","D","Lunes","11:15–12:00","Espanol","ESP-ING","ESP-ING-02","Felipe Mora"
"Mañana","73","1","D","Martes","7:45–8:30","Espanol","ESP-ING","ESP-ING-05","Adriana Suárez"
"Mañana","73","1","D","Martes","8:30–9:15","Ciencias Naturales","CIENCIAS","CIENCIAS-02","Sebastián Reyes"
"Mañana","73","1","D","Martes","10:30–11:15","Ciencias Sociales","FLEX","MAT-FIS-05","Sandra Ochoa"
"Mañana","73","1","D","Martes","11:15–12:00","Ciencias Naturales","CIENCIAS","CIENCIAS-02","Sebastián Reyes"
"Mañana","73","1","D","Miércoles","7:45–8:30","Matematicas","MAT-FIS","MAT-FIS-06","Julián Vargas"
"Mañana","73","1","D","Miércoles","8:30–9:15","Informatica","FLEX","FLEX-03","Omar Delgado"
"Mañana","73","1","D","Miércoles","10:30–11:15","Etica","EDF-ETICA","EDF-ETICA-01","Marcela Guerrero"
"Mañana","73","1","D","Miércoles","11:15–12:00","Espanol","ESP-ING","ESP-ING-08","Iván Torres"
"Mañana","73","1","D","Viernes","7:45–8:30","Matematicas","MAT-FIS","MAT-FIS-06","Julián Vargas"
"Mañana","73","1","D","Viernes","8:30–9:15","Ingles","ESP-ING","ESP-ING-02","Felipe Mora"
"Mañana","73","1","D","Viernes","10:30–11:15","Matematicas","MAT-FIS","MAT-FIS-03","María Fernanda Ríos"
"Mañana","74","1","E","Jueves","7:00–7:45","Matematicas","MAT-FIS","MAT-FIS-08","Diego Salazar"
"Mañana","74","1","E","Jueves","8:30–9:15","Ingles","ESP-ING","ESP-ING-02","Felipe Mora"
"Mañana","74","1","E","Jueves","9:45–10:30","Espanol","ESP-ING","ESP-ING-07","Lorena Bautista"
"Mañana","74","1","E","Jueves","11:15–12:00","Espanol","ESP-ING","ESP-ING-02","Felipe Mora"
"Mañana","74","1","E","Lunes","7:00–7:45","Espanol","ESP-ING","ESP-ING-02","Felipe Mora"
"Mañana","74","1","E","Lunes","8:30–9:15","Educacion Fisica","EDF-ETICA","EDF-ETICA-02","Héctor Zapata"
"Mañana","74","1","E","Lunes","9:45–10:30","Matematicas","MAT-FIS","MAT-FIS-04","Andrés Pardo"
"Mañana","74","1","E","Lunes","11:15–12:00","Educacion Fisica","EDF-ETICA","EDF-ETICA-05","Tatiana Herrera"
"Mañana","74","1","E","Martes","7:00–7:45","Matematicas","MAT-FIS","MAT-FIS-05","Sandra Ochoa"
"Mañana","74","1","E","Martes","8:30–9:15","Ciencias Naturales","CIENCIAS","CIENCIAS-06","Esteban Rojas"
"Mañana","74","1","E","Martes","9:45–10:30","Etica","EDF-ETICA","EDF-ETICA-02","Héctor Zapata"
"Mañana","74","1","E","Miércoles","7:00–7:45","Ciencias Naturales","CIENCIAS","CIENCIAS-04","Ricardo Beltrán"
"Mañana","74","1","E","Miércoles","8:30–9:15","Ciencias Naturales","CIENCIAS","CIENCIAS-01","Claudia Nieto"
"Mañana","74","1","E","Miércoles","9:45–10:30","Informatica","FLEX","FLEX-01","Nelson Cifuentes"
"Mañana","74","1","E","Miércoles","11:15–12:00","Ciencias Sociales","FLEX","FLEX-03","Omar Delgado"
"Mañana","74","1","E","Viernes","7:00–7:45","Espanol","ESP-ING","ESP-ING-03","Camila Restrepo"
"Mañana","74","1","E","Viernes","8:30–9:15","Matematicas","MAT-FIS","MAT-FIS-01","Laura Gómez"
"Mañana","60","2","A","Jueves","7:00–7:45","Espanol","ESP-ING","ESP-ING-06","Mauricio Cely"
"Mañana","60","2","A","Jueves","7:45–8:30","Ingles","ESP-ING","ESP-ING-02","Felipe Mora"
"Mañana","60","2","A","Jueves","9:45–10:30","Matematicas","MAT-FIS","MAT-FIS-08","Diego Salazar"
"Mañana","60","2","A","Jueves","10:30–11:15","Matematicas","MAT-FIS","MAT-FIS-07","Paola Cárdenas"
"Mañana","60","2","A","Lunes","7:00–7:45","Ciencias Naturales","CIENCIAS","CIENCIAS-05","Viviana Cortés"
"Mañana","60","2","A","Lunes","7:45–8:30","Ciencias Naturales","CIENCIAS","ESP-ING-08","Iván Torres"
"Mañana","60","2","A","Lunes","9:45–10:30","Educacion Fisica","EDF-ETICA","EDF-ETICA-05","Tatiana Herrera"
"Mañana","60","2","A","Lunes","10:30–11:15","Educacion Fisica","EDF-ETICA","EDF-ETICA-05","Tatiana Herrera"
"Mañana","60","2","A","Martes","7:00–7:45","Ciencias Naturales","CIENCIAS","CIENCIAS-03","Gloria Muñoz"
"Mañana","60","2","A","Martes","7:45–8:30","Espanol","ESP-ING","ESP-ING-08","Iván Torres"
"Mañana","60","2","A","Martes","9:45–10:30","Espanol","ESP-ING","ESP-ING-06","Mauricio Cely"
"Mañana","60","2","A","Martes","10:30–11:15","Etica","EDF-ETICA","EDF-ETICA-05","Tatiana Herrera"
"Mañana","60","2","A","Miércoles","7:00–7:45","Informatica","FLEX","ESP-ING-03","Camila Restrepo"
"Mañana","60","2","A","Miércoles","7:45–8:30","Ciencias Sociales","FLEX","FLEX-01","Nelson Cifuentes"
"Mañana","60","2","A","Miércoles","9:45–10:30","Matematicas","MAT-FIS","MAT-FIS-05","Sandra Ochoa"
"Mañana","60","2","A","Miércoles","10:30–11:15","Espanol","ESP-ING","ESP-ING-01","Natalia Duarte"
"Mañana","60","2","A","Viernes","7:00–7:45","Matematicas","MAT-FIS","MAT-FIS-02","Carlos Rendón"
"Mañana","61","2","B","Jueves","7:45–8:30","Espanol","ESP-ING","ESP-ING-06","Mauricio Cely"
"Mañana","61","2","B","Jueves","8:30–9:15","Ciencias Naturales","CIENCIAS","CIENCIAS-05","Viviana Cortés"
"Mañana","61","2","B","Jueves","10:30–11:15","Matematicas","MAT-FIS","MAT-FIS-06","Julián Vargas"
